Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2019,"12        ",Male,18,Right-Handed,170,24,170,1,Car,"6 min",0.399,47,Other,888,503,877,759,118,647,24,"Same length",130,70,"Index finger",May,Summer,Yes,No,Seafood,Water,English,8.30,10,2,"Yes - dial-up connection","Internet chat or instant messaging",5,5,3,1,8,5,0,2,5,7,18,4,0,1,Some,"Some college",Pop,Fly,Happy,"Coach or club leader",Environment
USA,MI,2019,"9         ",Female,14,Right-Handed,159,23,156,1,Car,8,0.752,36,Baseball/Softball,1000,800,650,650,700,900,23,"Same length",73,76,"Ring finger",April,Fall,No,No,Salads,Water,"Mathematics and statistics",6.5,9.5,5,"Yes - broadband connection","Text messaging",65,73,5,1,13,8,10,0,8,12,20,0,0,2,Some,"Graduate degree",Pop,Fly,Healthy,Relative,Environment
USA,IL,2019,"10        ",Female,15,Left-Handed,170.7,25,170.7,2,Car,10,0.278,46,"Football (American)",1000,1000,1000,1000,160,160,25,"Same length",80,70,"Index finger",April,Fall,Yes,No,Pizza/Pasta,Tea,"Mathematics and statistics",10,8,5,"Yes - other","Internet chat or instant messaging",60,120,12,2,4,6,15,2,4,5,3,1,0,1,Some,"Graduate degree",Pop,Invisibility,Happy,"Musician or singer","Wildlife, animals"
USA,FL,2019,"12        ",Male,17,Left-Handed,178,26,178,1,Car,5,0.695,48,"Football (American)",1000,950,900,1000,1000,1000,26,"Same length",30,35,"Ring finger",December,Summer,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",7,2,6,"Yes - broadband connection","Internet chat or instant messaging",4,20,5,6,2,5,2,10,8,2,2,0,16,2,"Very little","Some college","Heavy metal","Freeze time",Rich,Other,Health
USA,TX,2019,"12        ",Female,25,Right-Handed,172.7,14.6,175.2,2,Car,30," 0.47",49,Running/Jogging,1000,856,968,882,187,144,14.6,"Same length",8.225,8.225,"Same length",April,Spring,Yes,No,"Rice/Noodle dishes",Water,Art,8,8,2,"Yes - broadband connection","Cell phone",,,4,2,,0,5,7,2,1,7,0,0,4,Some,"Graduate degree","Punk rock",Fly,Healthy,Relative,Health
USA,IN,2019,"12        ",Male,16,Right-Handed,185,25,182,1,Bus,15,.386,44,"Football (American)",701,150,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"6         ",Female,11,Right-Handed,147,190,147,2,Car,30,0.418,122,Skateboarding/Rollerblading,550,550,1000,1000,1000,1000,190,"Same length",8,9,"Ring finger",August,Summer,No,No,Desserts,Juice,Science,9,7,4,"Yes - other","Text messaging",30,25,0,2,10,168,50,50,50,50,100,60,0,0,Some,"Graduate degree",Pop,Fly,Rich,Other,Health
USA,OH,2019,"6         ",Female,12,Ambidextrous,152,22,143,3,Bus,45,.418,44,Soccer,10,25,2,1,500,800,21,"Right foot",,,"Ring finger",December,Summer,Yes,Yes,Salads,Water,Science,"9 ",11,8,"Yes - other","In person",59,48,9,1,1,3,4,0,2,1,2,0,2,1,"A lot","Graduate degree",Pop,Invisibility,Healthy,"Sports person","Arts, culture, sports"
USA,MS,2019,"8         ",Male,13,Right-Handed,"5,4",8,idk,2,Car,2,.344,50,Basketball,1000,1000,1000,1000,1000,1000,8,"Same length",3,2,"Ring finger",April,Summer,No,No,Meat,"Sports drink","Mathematics and statistics",8,5,9,"Yes - dial-up connection","Internet chat or instant messaging",200,150,40,168,2,10,40,4,30,60,20,168,0,3,Some,"Some college","Rap/Hip hop",Fly,Famous,"Sports person","Arts, culture, sports"
USA,IA,2019,"7         ",Female,12,,172,25,155,1,Car,4,0.449,44,Basketball,160,262,380,476,626,733,25,"Same length",9,9,"Same length",September,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,9,6,5,"Yes - other","Cell phone",250,250,100,2,3,4,7,0,2,1,5,5,1,2,"Very little","Graduate degree",Country,Telepathy,Healthy,Relative,Health
USA,OH,2019,"12        ",Female,17,Right-Handed,162,18,60,3,Car,20,.67,24,Other,1000,1000,1000,1000,1000,1000,18,"Same length",7,7,"Ring finger",May,Fall,Yes,Yes,"Rice/Noodle dishes",Water,Other,6,7,11,"Yes - other","Text messaging",100,200,1,3,7,2,30,0,4,1,1,2,40,2,"A lot","Graduate degree",Other,Fly,Famous,Relative,Other
USA,NC,2019,"12        ",Female,16,Left-Handed,160,21,154,2,Car,4,.412,28,Dancing,1000,890,800,1000,500,1000,22,"Left foot",75,65,"Index finger",March,Summer,No,No,"Rice/Noodle dishes",Coffee,Science,5,9,4,"Yes - broadband connection","Cell phone",50,70,1,2,10,8,4,0,2,3,16,0,0,8,"A lot","Graduate degree",Pop,Telepathy,Happy,"Doctor or nurse","International aid"
USA,CA,2019,"12        ",Female,16,Right-Handed,157,24.5,159,1,Car,3,,0.374,Walking/Hiking,700,600,750,750,500,900,24,"Right foot",75,80,"Ring finger",March,Summer,No,No,Desserts,Coffee,Other,6.5,11,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",1,1,7,0,8,2,0,2,25,1,25,0,0,1,"A lot","Undergraduate degree","Punk rock",Fly,Happy,Other,"Arts, culture, sports"
USA,OH,2019,"6         ",Male,12,Right-Handed,132,25,136,1,,31,0.342,56,"Football (American)",4922,289,37,0,1000,594,25,"Same length",6,7,"Ring finger",February,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,10,3,"Yes - broadband connection","In person",0,0,6,15,2,5,7,21,5,1,30,3,00,1,"A lot","Undergraduate degree",Techno/Electronic,Invisibility,Happy,Relative,"Wildlife, animals"
USA,SC,2019,"12        ",Female,17,Right-Handed,179,26,177,2,Car,10,.447,51,None,807,834,321,781,241,701,27,"Left foot",80,60,"Index finger",August,Spring,No,Yes,Fruit,"Soft drink (caffeinated)","Social studies",5,9,3,"Yes - broadband connection","Text messaging",3,3,20,2,0,2,0,0,10,3,3,0,25,2,"Very little","Graduate degree",Pop,Telepathy,Happy,Politician,"Education/Youth development"
USA,NC,2019,"11        ",Male,17,Right-Handed,180,30,172,1,Car,20,.334,40,Other,542,525,638,726,768,768,29,"Right foot",95,82,"Index finger",May,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,6,3,"Yes - broadband connection","Text messaging",25,36,12,1,12,10,12,2,6,2,10,0,15,3,Some,"Graduate degree",Pop,Telepathy,Happy,"Business person","Education/Youth development"
USA,PA,2019,"12        ",Male,17,Right-Handed,187,27,187,1,Car,11,.253,43,"Hockey (Ice)",200,200,0,500,750,1000,25,"Right foot",7.5,7,"Index finger",January,Fall,No,No,Meat,Water,"Mathematics and statistics",6,8,4,"Yes - broadband connection","In person",10,10,14,1,2,1,4,4,6,1,4,2,30,1,"A lot","Graduate degree","Punk rock",Telepathy,Healthy,"Musician or singer","International aid"
USA,NE,2019,"12        ",Male,16,Right-Handed,175,25.7,178.9,1,Car,8,0.312,44,Running/Jogging,497,583,364,358,824,1000,25.6,"Right foot",73,74,"Ring finger",April,Spring,Yes,No,Pizza/Pasta,Water,English,7,9,5,"Yes - other","Text messaging",12,14,3,1,6,7,3,3,2,2,6,7,0,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Friend,Health
USA,NJ,2019,"12        ",Male,16,Right-Handed,172.7,22.86,172.7,2,Bus,13,0.81,48,Basketball,364,465,267,112,621,882,22.86,"Same length",78,70,"Index finger",August,Summer,Yes,No,Meat,Water,"Mathematics and statistics",6-7,9-10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,50,2,0,2,5,6,1,10,10,10,4,24,2,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Business person","Arts, culture, sports"
USA,OH,2019,"7         ",Female,12,Right-Handed,164,23,163,1,Car,10,.585,67,Golf,449,374,636,684,1000,1000,23,"Same length",7,7,"Same length",September,Winter,Yes,No,"Rice/Noodle dishes",Water,Science,5,9,4,"Yes - other","Cell phone",20,19,13,2,4,1,1,4,6,3,3,2,0,0,"A lot",Other,Other,"Freeze time",Rich,Actor,"Education/Youth development"
USA,KY,2019,"12        ",Female,17,Right-Handed,170,21,152,1,Car,"30 ",.421,38,Other,3,2,4,1,6,5,21,"Same length",7.5,6.5,"Index finger",October,Summer,Yes,No,Meat,Water,History,7,6,4,"Yes - other","Text messaging",50,60,2,1,2,3,10,0,2,3,12,2,15,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,Environment
USA,OH,2019,"12        ",Male,17,Right-Handed,6'1,29.5,6'3,3,Car,10,0.306,39,Baseball/Softball,988,80,1000,999,4,50,29.5,"Same length",12,14,"Ring finger",February,Summer,No,No,Meat,Water,"Social studies",6,9,3,"Yes - broadband connection","Text messaging",150,200,5,0,0,8,4,2,7,5,7,8,0,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Famous,"Sports person","International aid"
USA,KS,2019,"12        ",Female,17,Right-Handed,182,25,174,2,Car,8,.643,38,Basketball,1000,1000,1000,1000,300,400,25,"Same length",Rn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AZ,2019,"6         ",Male,12,Right-Handed,161,25,158,1,Car,15,0.353,57,Soccer,797,1000,1000,1000,0,91,25,"Same length",70,70,"Same length",June,Winter,Yes,No,Meat,Water,"Mathematics and statistics",9,7,5,"Yes - other","In person",3,3,3,0,1,4,1,5,2,1,6,7,0,5,Some,"Graduate degree",Country,Invisibility,Famous,Relative,Health
USA,CA,2019,"11        ",Female,16,Right-Handed,164,24,168,2,Car,5,.344,44,None,1000,800,1000,1000,500,700,24,"Same length",81,81,,May,Spring,No,No,Pizza/Pasta,Water,Science,8,10,6,"Yes - other","Internet chat or instant messaging",50,50,15,0,10,20,5,0,34,10,15,10,0,10,Some,Other,"Rap/Hip hop",Telepathy,Happy,Other,"International aid"
USA,MA,2019,"12        ",Male,17,Right-Handed,168.7,25,179,1,Car,15,0.321,33,Other,545,476,358,364,214,316,24.5,"Right foot",75,77,"Ring finger",June,Winter,No,No,Meat,Water,"Computers and technology",9,4,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",2,8,4,1,2,2,12,15,2,2,15,0,0,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person","Arts, culture, sports"
USA,CA,2019,"7         ",Female,12,Right-Handed,62,22,62,0,Car,7,0.423,38,Soccer,613,727,497,503,294,1000,22,"Same length",75,80,"Ring finger",May,Winter,Yes,No,"No favorite",Water,"Mathematics and statistics",8,8,4,"Yes - other","Text messaging",5,5,6,2,5,5,5,7,5,27,7,6,0,3,"A lot","Graduate degree","Rock and roll",Invisibility,Healthy,Relative,Health
USA,OH,2019,"4         ",Female,10,Right-Handed,135,20,135,1,Bus,60,0.509,50,Basketball,1000,1000,500,999,200,100,19,"Right foot",77,70,"Index finger",April,Summer,No,No,"Rice/Noodle dishes",Tea,Music,9,10,5,"Yes - other","Cell phone",5,7,6,5,1,5,3,3,0,1,2,4,0,1,None,"High school",Country,Fly,Happy,Relative,Health
USA,WI,2019,"7         ",Female,13,Right-Handed,Idk,Idk,Idk,1,Car,10,0.635,48,Dancing,53,64,86,112,1000,1000,Idk,"Same length",Idk,Idk,"Ring finger",October,Summer,Yes,No,Desserts,Juice,Music,7,4,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",60,80,10,12,1,10,0,0,12,12,12,8,4,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"International aid"
USA,TX,2019,"10        ",Female,14,Right-Handed,160,20,150,3,Bus,20,.455,49,Dancing,600,400,300,600,400,700,20,"Same length",65,75,"Ring finger",April,Spring,No,Yes,Other,Water,Art,9,8,5,"Yes - broadband connection","In person",5,6,2,.25,5,12,0,2,0,2,1,5,0,2,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Health
USA,CA,2019,"11        ",Male,16,Right-Handed,179.8,27,170,3,Car,5,0.427,44,Soccer,428,658,775,786,909,1000,27,"Same length",90,70,"Index finger",March,Summer,Yes,No,Other,Tea,"Computers and technology",8,10,3,"Yes - broadband connection","Text messaging",0,3,4,4,10,11,3,5,5,2,11,1,0,3,Some,"Graduate degree",Other,Invisibility,Happy,Relative,Religious
USA,CA,2019,"12        ",Female,16,Right-Handed,"98 cm",,,2,Car,10,,0.719,Walking/Hiking,900,300,1000,600,800,1000,,"Right foot",,,"Index finger",October,Winter,No,No,Pizza/Pasta,"Soft drink (non-caffeinated)",Science,6,4,4,"Yes - broadband connection","Text messaging",3,3,5,0,20,2,5,8,0,0,15,6,0,0,"A lot","Graduate degree","Heavy metal",Telepathy,Rich,Other,"International aid"
USA,OH,2019,"12        ",Male,17,Right-Handed,189,31.75,188,1,Car,9,.22,38,"Football (American)",898,1000,428,690,1000,1000,31.69,"Right foot",22,17.3,"Same length",June,Fall,No,No,Poultry,Water,"Social studies",8,10,5,"Yes - broadband connection","Text messaging",108,100,7,1,1,3,4,3,1,1,4,2,5,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person",Health
USA,OH,2019,"7         ",Female,13,Right-Handed,60,20,154,2,Car,10,0.562,67,Running/Jogging,487,497,636,390,733,877,23,"Left foot",5,7,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,Art,8,12,4,"Yes - other","In person",5,2,"2 hrs","0 hrs","1 hr","5 hrs","1 hrs","2 hrs","5 hrs",0,"2 hrs","3 hrs",0,"2 hrs",Some,"Graduate degree",Pop,Invisibility,Happy,Relative,Other
USA,NC,2019,"11        ",Male,18,Right-Handed,177,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"12        ",Female,17,Right-Handed,5'2,23,163,2,Bus,15,.521,32,"Martial Arts",1000,850,738,1000,449,1000,23.5,"Left foot",7.6,7.7,"Ring finger",April,Fall,No,No,"Rice/Noodle dishes",Water,English,8,6,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,15,8,.5,2,.7,1,3,10,0,10,0,6,.5,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Healthy,"Musician or singer",Environment
USA,WA,2019,"11        ",Female,17,Right-Handed,157.4,.22,.17,1,Car,17,.322,42,Dancing,599,588,684,358,214,332,22,"Same length",2,1,"Ring finger",March,Spring,No,No,Pizza/Pasta,Water,Music,6.5,7,5,"Yes - broadband connection","Internet chat or instant messaging",40,40,30,4,3,10,0,0,168,40,168,20,40,10,Some,"Some college",Pop,Invisibility,Rich,Actor,Other
USA,MA,2019,"12        ",Female,17,Right-Handed,163.8,21.59,162.8,1,Car,20,0.344,34,Soccer,492,492,824,599,807,695,22.30,"Left foot",66.04,63.5,"Index finger",November,Spring,Yes,No,Pizza/Pasta,Water,Science,6,8,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",30,45,3,1,30,5,6,0,3,3,15,3,6,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,PA,2019,"12        ",Female,16,Right-Handed,159.9,16.5,159.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2019,"11        ",Male,16,Ambidextrous,185,30,185,2,Car,10,.046,35,Athletics,500,500,500,500,1000,1000,29,"Right foot",9,10,"Ring finger",December,Winter,No,No,Fruit,,"Computers and technology",4,10,2,"Yes - other","Text messaging",5,0,15,50,7,0,10,50,25,25,50,0,20,0,"A lot","High school","Rap/Hip hop",Invisibility,Healthy,Other,"Education/Youth development"
USA,NC,2019,"12        ",Male,18,Right-Handed,170.2,25,"83.8 ",2,Car,12,0.53,49,Basketball,500,500,800,800,1000,1000,24,"Same length",83,85,"Ring finger",October,Summer,No,No,Poultry,Water,Science,6,10,4,"Yes - broadband connection","Text messaging",250,300,10,1,50,30,20,2,20,40,30,4,10,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Doctor or nurse",Health
USA,NY,2019,"10        ",Female,15,Right-Handed,153,23,151,2,Bus,45,.766,42,Swimming,1000,700,800,800,1000,1000,23,"Same length",70,65,"Index finger",May,Winter,No,No,Poultry,Water,Art,6,9,5,"Yes - other","In person",1,1,4,0,18,2,0,0,14,1,35,0,0,1,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,FL,2019,"12        ",Male,16,Right-Handed,180,27,180.5,2,Car,15,.75,45,Basketball,500,200,500,600,900,1000,27,"Same length",105,110,"Ring finger",July,Fall,No,No,Meat,Water,"Computers and technology",6,13,4,"Yes - broadband connection","Internet chat or instant messaging",60,65,13,9,6,6,9,8,2,2,42,0,0,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Other,Health
USA,CA,2019,"12        ",Female,16,Left-Handed,162,23,165,1,Car,12,0.53,40,Other,980,980,980,980,950,980,25,"Left foot",75,79,"Ring finger",November,Summer,Yes,No,Pizza/Pasta,Water,English,7,8,4,"Yes - broadband connection","In person",48,53,4,0.25,21,25,21,1,8,6,2,4,0,1,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,"International aid"
USA,FL,2019,"11        ",Male,16,Right-Handed,186,28,182,1,Car,15,.12,45,Baseball/Softball,800,500,500,500,200,1000,28,"Same length",100,90,"Index finger",December,Winter,No,No,Meat,Water,"Physical education",7,10,5,"Yes - broadband connection","Internet chat or instant messaging",10,20,15,1,1,21,21,3,5,5,5,10,0,0,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person",Health
USA,PA,2019,"6         ",Male,12,Right-Handed,163,24,161,none,Bus,30,0.695,51,Other,500,400,600,700,800,300,24,"Same length",100,70,"Index finger",March,Fall,No,No,Breads/Sandwiches,Other,"Mathematics and statistics",8,5,6,"Yes - broadband connection","Cell phone",none,1,"2 ",1,3,5,none,6,2,1,5,6,none,1,"A lot","High school",Other,"Freeze time",Rich,Other,"Wildlife, animals"
USA,NY,2019,"10        ",Female,15,Right-Handed,175,23,173,1,Boat,45,0.312,52,Skateboarding/Rollerblading,500,1000,1000,900,0,700,24,"Left foot",7.5,7.5,"Same length",June,Spring,Yes,No,Meat,Water,Other,5,10,4,"Yes - other","Text messaging",249,270,4,20,5,12,2,6,6,11,24,4,5,1,Some,,Techno/Electronic,Fly,Happy,Relative,"Education/Youth development"
USA,TX,2019,"10        ",Male,14,Right-Handed,175,25,180,2,Car,20,0.699,42,Soccer,800,700,800,800,500,600,25,"Same length",86,79,"Ring finger",June,Summer,No,No,Meat,Water,"Mathematics and statistics",9,8,4,"Yes - broadband connection","Internet chat or instant messaging",30,25,1,1,5,5,2,2,10,1,50,0,0,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,Health
USA,NC,2019,"11        ",Female,16,Right-Handed,153,19,146,1,Car,20,0.387,34,Skateboarding/Rollerblading,1000,1000,500,500,50,300,21,"Right foot",6,8,"Ring finger",June,Winter,No,No,Poultry,Water,Science,8,8,3,"Yes - broadband connection","Internet chat or instant messaging",20,50,,,,,,,,,,,,,"Very little","Some college","Rock and roll",Invisibility,Healthy,Actor,Environment
USA,IN,2019,"11        ",Female,16,Right-Handed,167,23,152,1,Car,8,0.802,54,None,1000,1000,1000,500,0,10,22,"Right foot",70,75,"Ring finger",February,Fall,Yes,No,"No favorite",Water,Art,7/8,6/7,6,"Yes - broadband connection","Text messaging",50,45,12,24,2,5,1,1,12,30,164,1,1,10,Some,"Graduate degree",Other,"Freeze time",Happy,Friend,"International aid"
USA,WA,2019,"12        ",Female,17,Right-Handed,160.0,24,42,2,Car,10,0.423,72,None,1000,1000,1000,1000,0,0,24,"Same length",3.2,3.5,"Ring finger",January,Fall,No,No,Pizza/Pasta,"Sports drink",Languages,8,4,4,"Yes - other","Text messaging",30,20,20,4,2,8,0,0,20,20,4,4,7,7,"Very little","Graduate degree",Pop,Telepathy,Rich,Politician,"Education/Youth development"
USA,GA,2019,"8         ",Female,13,Right-Handed,152.4,24.0,,1,Bus,10,.539,40,Baseball/Softball,1000,481,610,1000,134,278,24.0,"Same length",60,50,"Same length",September,Summer,Yes,No,Meat,Tea,"Mathematics and statistics",7,4,7,"Yes - broadband connection","Text messaging",50,43,3,2,1,3,4,0,3,2,1,4,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Doctor or nurse",Health
USA,RI,2019,"12        ",Female,15,Right-Handed,133,23,160,2,Bus,30,.36,37,Tennis,1000,1000,1000,1000,50,5000,23,"Same length",70,80,"Ring finger",September,Spring,No,Yes,Fruit,Water,"Mathematics and statistics",8,,6,"Yes - other","Internet chat or instant messaging",3,2,8,2,13,40,20,,,,,,,,,,,,,,
USA,WA,2019,"11        ",Male,16,Right-Handed,165,28,165,2,Car,10,.38,45,Baseball/Softball,1000,802,1000,1000,1000,1000,28,"Same length",85,90,"Ring finger",May,Spring,No,No,Meat,"Sports drink",History,6,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,320,4,3,0,15,10,24,24,30,30,24,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Wildlife, animals"
USA,WA,2019,"12        ",Female,17,Right-Handed,164,25,161.5,1,Car,10,.382,54,Other,1000,1000,1000,1000,0,0,25.5,"Left foot",65,70,"Ring finger",November,Fall,Yes,No,Meat,Coffee,Science,7,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,6,7,5,8,5,10,0,10,7,7,6,10,10,Some,"Graduate degree",Country,,Happy,Relative,"Wildlife, animals"
USA,MI,2019,"9         ",Female,14,Right-Handed,63,23,150,2,Car,4,0.879,64,Golf,800,800,1000,500,0,0,23,"Same length",60,70,"Ring finger",June,Winter,Yes,No,Seafood,Water,Music,5,11,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,122,16,2,4,20,10,3,"29 ",1,1,10,0,8,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Other,Religious
USA,OH,2019,"12        ",Female,17,Right-Handed,175,24.1,168,1,Car,25,0.633,46,Walking/Hiking,535,524,706,401,738,749,23.5,"Right foot",8.1,7.9,"Index finger",April,Summer,No,Yes,"Rice/Noodle dishes",Tea,Art,7,10,2,"Yes - broadband connection","Text messaging",60,60,15,5,5,12,3,0,10,4,40,6,30,3,"Very little",Other,Other,Telepathy,Happy,Friend,Health
USA,PA,2019,"6         ",Female,12,Left-Handed,157,20,155,1,Bus,35,0.437,"52 ",Soccer,770,551,668,888,695,775,21,"Left foot",70,67,"Index finger",October,Fall,Yes,No,"Rice/Noodle dishes",Water,Art,"4 1/2",6,,"Yes - broadband connection","In person",5,8,51,0,7,4,10,0,2,3,6,2,0,6,"A lot","Undergraduate degree",Other,"Freeze time",Happy,Friend,Environment
USA,IN,2019,"10        ",Male,15,Right-Handed,165,24,167,1,Bus,10,0.685,52,Dancing,900,800,500,900,950,1000,25,"Left foot",7,7.9,"Ring finger",October,Fall,No,No,Pizza/Pasta,Water,Music,8,10,4,"Yes - broadband connection","In person",3,4,30,1,4,10,2,18,8,1,8,4,0,4,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Friend,Environment
USA,OR,2019,"11        ",Female,16,Right-Handed,162,25,73,1,Walk,3,0.643,79,Other,,,,,,,25,"Same length",88,80,"Index finger",December,Fall,Yes,No,"Rice/Noodle dishes",Water,Music,7,8,4,"Yes - other","In person",41,26,14,25,7,21,14,0,6,25,12,0,0,14,Some,"High school","Rhythm and blues (R&B)","Freeze time",Rich,"Musician or singer","Arts, culture, sports"
USA,NC,2019,"7         ",Male,13,Right-Handed,170,33,177,1,Bus,30,.56,83,Swimming,759,529,626,791,1000,1000,33,"Same length",7.5,7.6,"Ring finger",July,Summer,No,No,"No favorite",Tea,"Physical education",6,4,7,"Yes - broadband connection","Text messaging",29,30,0,10,0,0,0,21,14,1,24,0,0,0,"A lot","Some college",Other,Fly,Rich,Relative,Health
USA,MA,2019,"11        ",Male,16,Right-Handed,175.3,26,,1,Car,8,.284,33,Athletics,1000,1000,1000,1000,1000,1000,26,"Same length",100,105,"Ring finger",June,Summer,Yes,No,Fruit,Tea,Science,6,9,1,"Yes - broadband connection","In person",100,200,16,1,9,5,1,4,9,9,9,3,2,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,WA,2019,"12        ",Male,16,Right-Handed,23,400,1000,1,Bus,35,.395,45,Running/Jogging,999,10,300,100,500,1000,"5 fee","Same length","a lot",,"Same length",October,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,5,10,4,"Yes - other","Text messaging",idk,none,10,0,0,20,0,alot,40,0,40,5,0,1,"A lot","High school",Pop,"Freeze time",Rich,Relative,Environment
USA,FL,2019,"6         ",Female,12,Right-Handed,150,21,154,2,Car,20,0.385,37,Swimming,1000,1000,1000,1000,900,1000,21,"Same length",70,80,"Ring finger",April,Winter,No,No,"No favorite",Water,History,7,13,3,"Yes - other","Text messaging",200,200,5,2,24,15,0,1,0,14,35,10,0,5,"A lot","Graduate degree",Pop,Invisibility,Rich,Relative,"International aid"
USA,TX,2019,"12        ",Male,17,Right-Handed,162,28,167.6,2,Car,35,.39,49,Running/Jogging,1000,999,998,997,996,995,28,"Same length",80,85,"Ring finger",October,Fall,Yes,No,Meat,Tea,,5,7,3,"Yes - broadband connection","Text messaging",300,300,10,21,2,5,2,25,10,25,25,1,0,10,"A lot","Undergraduate degree","Rock and roll",Telepathy,Healthy,"Doctor or nurse",Environment
USA,IN,2019,"8         ",Male,14,Right-Handed,177,24,175,2,Car,5,0.357,36,"Football (American)",500,600,400,300,700,999,24,"Same length",90,85,"Index finger",February,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,12,4,"Yes - other","Text messaging",100,110,5,2,6,10,10,1,3,7,3,6,5,2,Some,Other,Other,Telepathy,Happy,"Sports person",Other
USA,MN,2019,"12        ",Male,17,Right-Handed,178,25.4,169,1,Car,7,0.34,31,None,700,500,300,300,750,1000,25,"Right foot",89,76,"Index finger",March,Winter,No,No,"No favorite",Water,Science,6,10,2,"Yes - broadband connection",Other,4,6,38,0,1,0,0,46,0,0,0,0,2,1,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Other,Health
USA,AZ,2019,"12        ",Female,18,Right-Handed,152,289,16,1,Walk,30min,2.762,69,Skateboarding/Rollerblading,80,500,75,500,0,0,289,"Same length",2,2,"Same length",April,Spring,No,No,Desserts,"Energy drink",Art,4,2,4,"No internet connection","Myspace, Facebook, other social networking sites, or blog",20,30,0,0,2,24,2,2,3,1,1,24,0,24,Some,Other,Other,Telepathy,Rich,Relative,"Wildlife, animals"
