Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2019,"11        ",Male,18,Right-Handed,190,25.4,186,2,Bicycle,12,".323 ",35,Soccer,739,759,374,426,521,517,23,"Right foot",64,62,"Index finger",April,Winter,Yes,No,Meat,Water,"Physical education",5,7,4,"Yes - other","Text messaging",65,57,7,0,8,9,10,3,1,4,1,0,6,5,"A lot",Other,Country,"Freeze time",Healthy,Relative,Health
USA,NC,2019,"10        ",Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"11        ",Female,15,Left-Handed,164,24,166,1,Bus,20,,,Walking/Hiking,,,,,,,24,"Same length",,,,October,Fall,No,No,Fruit,Water,Science,8,10,9,"Yes - broadband connection","Text messaging",10,15,4,3,6,7,2,2,7,3,14,1,0,14,Some,"Graduate degree","Heavy metal",Fly,Happy,Other,Environment
USA,PA,2019,"12        ",Male,17,Right-Handed,180,27,183,1,Car,10,.281,27,"Football (American)",600,600,850,850,750,500,27,"Same length",80,75,"Index finger",April,Fall,No,No,Meat,Water,"Physical education",7,8,6,"Yes - other","In person",120,230,4,1,2,3,20,3,2,2,2,2,0,2,None,"Undergraduate degree",Country,Telepathy,Happy,"Sports person",Religious
USA,PA,2019,"12        ",Female,16,Right-Handed,163,23,165,1,Bus,15,.258,10,Other,1000,1000,1000,1000,100,600,22,"Right foot",82,93,"Ring finger",August,Winter,Yes,No,Poultry,"Soft drink (non-caffeinated)","Physical education",6,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,200,5,1,0,0,0,0,10,11,20,0,40,40,"A lot","Graduate degree",Other,Telepathy,Famous,Friend,Environment
USA,PA,2019,"9         ",Female,15,Left-Handed,"179 ",23,175,1,Car,25,0.338,52,Lacrosse,449,75,1000,551,0,1000,178,"Left foot",70,45,"Index finger",September,Summer,Yes,No,Fruit,Water,History,8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,10,50,10,70,40,15,0,0,5,9,7,0,1,"A lot","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,MA,2019,"12        ",Male,17,Right-Handed,180.3,26,70.8,3,Bus,10,.375,67,Athletics,1000,1000,1000,1000,1000,1000,26,"Same length",7,9,"Ring finger",February,Summer,No,No,Meat,Tea,Geography,7,8,4,"Yes - broadband connection","Cell phone",100,100,5,1,10,30,10,6,12,1,2,2,0,5,Some,"Graduate degree",Classical,Telepathy,Rich,"Religious figure",Religious
USA,WI,2019,"12        ",Female,18,Right-Handed,155,22,150,1,Car,25,0.435,42,Walking/Hiking,941,898,1000,818,717,987,21,"Right foot",80,70,"Index finger",July,Summer,No,Yes,Breads/Sandwiches,Coffee,English,6,9,3,"Yes - broadband connection","Text messaging",80,90,10,1,14,9,10,0,18,50,30,4,0,3,"A lot","Graduate degree",Other,Telepathy,Healthy,Friend,Environment
USA,PA,2019,"9         ",Female,15,Right-Handed,5'3,29,57,1,Bus,45,0.411,29,Tennis,620,615,674,711,642,594,36,"Left foot",70,80,"Ring finger",August,Summer,,No,Pizza/Pasta,Water,English,7,9,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,4,3,1,8,5,3,1,9,7,8,6,1,1,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,SD,2019,"9         ",Male,14,Ambidextrous,,28,178.8,1,Car,20,0.442,33,Basketball,508,519,433,620,246,444,28,"Same length",9,8,"Index finger",May,Fall,No,No,Meat,Other,"Physical education",6,6,6,,"Cell phone",2,2,3,0,5,,,,,,,,,,,,,,,,
USA,MO,2019,"12        ",Female,16,Right-Handed,162,22,160,1,Car,12,0.38,42,None,900,900,900,900,1000,1000,23,"Left foot",75,70,"Index finger",July,Fall,Yes,No,Seafood,Tea,"Social studies",5,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2019,"4         ",Female,14,Right-Handed,150cm,23cm,167cm,1,"Rail (Train/Tram/Subway)",30min,0.298,48,Swimming,1000,1000,800,500,0,1000,21cm,"Right foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2019,"12        ",Female,17,Right-Handed,168,25,171,1,Bus,30,1.294,98,None,711,786,465,674,647,1000,25.5,"Left foot",93,90,"Index finger",March,Spring,Yes,No,Meat,"Sports drink","Mathematics and statistics",6,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,1,,,,1,.5,20,3,3,15,3,0,2,Some,"Undergraduate degree",,Telepathy,Happy,Teacher,Health
USA,OH,2019,"8         ",Male,14,Right-Handed,162,25,164,1,Car,12,.332,32,Lacrosse,400,500,500,500,600,800,25,"Same length",75,80,"Ring finger",September,Spring,No,No,Meat,Water,"Physical education",6,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,150,24,1,5,2,12,12,4,2,12,0,2,2,None,"Graduate degree",Country,Telepathy,Rich,Relative,"Arts, culture, sports"
USA,PA,2019,"4         ",Male,10,Right-Handed,142,21,133,1,Bus,5,1.13,94,Soccer,"1,000",700,600,"1,000",0,0,22,"Left foot",8,8,"Same length",November,Summer,Yes,No,Pizza/Pasta,Milk,"Physical education","9 1/2",10,4,"Yes - other","In person",0,0,1hr,10min,1hr,2hrs,1hr,3hrs,0,0,1hr,4hr,5hrs,3hrs,"Very little","Some college",Country,Fly,Healthy,Relative,Health
USA,WA,2019,"11        ",Male,17,Right-Handed,172,25,230,1,Car,9,.35,45,Soccer,464,454,464,574,768,897,25,"Same length",76,76,"Same length",November,Summer,No,No,Meat,Water,"Social studies",5,7,3,"Yes - other","Text messaging",50,60,5,1,1,1,0,5,5,6,2,3,0,0,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,Other,Health
USA,WA,2019,"12        ",Female,17,Left-Handed,157,23,161,1,Bus,35,0.947,53,Bowling,658,209,583,578,495,636,23.5,"Left foot",73,58,"Index finger",May,Fall,No,No,Desserts,Water,Art,6,9,5,"Yes - broadband connection","Cell phone",3,4,1,1,0,2,0,2,5,5,8,1,0,1,Some,"Some college",Techno/Electronic,Telepathy,Rich,Other,"International aid"
USA,MD,2019,"10        ",Male,16,Ambidextrous,171,25,175,1,Car,5,0.397,48,"Football (American)",652,706,1000,455,508,503,26,"Left foot",9,10,"Ring finger",August,Winter,Yes,No,"No favorite",Water,"Physical education",6,8,5,"Yes - other","Text messaging",50,50,28,25,21,21,24,28,7,24,25,5,0,7,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,Health
USA,CT,2019,"11        ",Female,16,Right-Handed,150,24,120,2,Bus,15,0.361,43,Dancing,95,90,100,95,100,100,24,"Same length",82,87,"Ring finger",March,Fall,Yes,No,Meat,Water,Languages,6,10,2,"Yes - broadband connection",Other,91,130,0,3,4,21,2,21,4,4,28,0,1,24,Some,"Graduate degree",Pop,"Freeze time",Healthy,"Musician or singer",Health
USA,PA,2019,"12        ",Female,17,Right-Handed,165,23.5,167,2,Car,7,0.721,37,Other,800,700,500,800,600,1000,23.5,"Same length",8,8.2,"Ring finger",March,Fall,No,No,Pizza/Pasta,Water,Science,8,9,3,"Yes - dial-up connection","Text messaging",50,50,8,3,6,5,20,1,3,3,8,9,0,2,Some,"Graduate degree",Pop,Telepathy,Rich,Relative,"Wildlife, animals"
USA,MI,2019,"9         ",Female,15,Right-Handed,5’8,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2019,"11        ",Female,16,Ambidextrous,152.4,25.4,182.8,2,Car,10,0.415,55,None,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IN,2019,"11        ",Female,16,Right-Handed,164,23,163,2,Car,10,.583,43,Baseball/Softball,50,100,150,500,1000,1000,23,"Same length",9,10,"Ring finger",June,Summer,Yes,No,Poultry,Juice,"Physical education",4,13,3,"Yes - other","Internet chat or instant messaging",50,60,20,,,,,,,,,,,,,,,,,,
USA,CA,2019,"7         ",Female,12,Right-Handed,157.4,23,161.2,2,Walk,5,0.337,31,Soccer,487,684,540,556,80,262,22.5,"Right foot",85,90,"Ring finger",December,Fall,Yes,No,"Rice/Noodle dishes",Water,"Social studies",9,10,4,"Yes - broadband connection","Text messaging",30,100,4,1,8,9,14,2,4,5,5,4,0,6,Some,"Graduate degree",Pop,Telepathy,Rich,"Business person","International aid"
