title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
I'm Not There.,http://www.imdb.com/title/tt0368794/,US/Canada,2007,$4M,Todd Haynes,Bob Dylan,Musician,Known,White,0,Male,-
If You Could See What I Hear,http://www.imdb.com/title/tt0084117/,Canada,1982,-,Eric Till,Tom Sullivan,Singer,Known,White,0,Male,Marc Singer
Immortal Beloved,http://www.imdb.com/title/tt0110116/,US/UK,1994,$14.4M,Bernard Rose,Ludwig van Beethoven,Musician,Known,White,0,Male,Gary Oldman
In the Name of the Father,http://www.imdb.com/title/tt0107207/,US/UK,1993,$25M,Jim Sheridan,Gerry Conlon,Other,Known,White,0,Male,Daniel Day-Lewis
Infamous,http://www.imdb.com/title/tt0420609/,US,2006,$1.15M,Douglas McGrath,Truman Capote,Other,Unknown,,0,Male,Toby Jones
Infinity,http://www.imdb.com/title/tt0116635/,US,1996,$146K,Matthew Broderick,Richard Feynman,Academic,Unknown,,0,Male,Matthew Broderick
Interrupted Melody,http://www.imdb.com/title/tt0048210/,US,1955,-,Curtis Bernhardt,Marjorie Lawrence,Singer,Known,White,0,Female,Eleanor Parker
Into the Wild,http://www.imdb.com/title/tt0758758/,US,2007,$18.4M,Sean Penn,Christopher McCandless,Athlete,Unknown,,0,Male,Emile Hirsch
Invincible,http://www.imdb.com/title/tt0445990/,US,2006,$57.8M,Ericson Core,Vince Papale,Athlete,Unknown,,0,Male,Mark Wahlberg
Iris,http://www.imdb.com/title/tt0280778/,US/UK,2001,$1.2M,Richard Eyre,Iris Murdoch,Author,Known,White,0,Female,Judi Dench and Kate Winslet
Isadora,http://www.imdb.com/title/tt0063141/,UK,1968,-,Karel Reisz,Isadora Duncan,Artist,Unknown,,0,Female,Vanessa Redgrave
Isn't She Great,http://www.imdb.com/title/tt0141399/,US/UK,2000,$2.95M,Andrew Bergman,Jacqueline Susann,Author,Known,White,0,Female,Bette Midler
iSteve,http://www.imdb.com/title/tt2782834/,US,2013,-,Ryan Perez,Steve Jobs,Other,Known,Multi racial,1,Male,Justin Long
J. Edgar,http://www.imdb.com/title/tt1616195/,US,2011,$37.3M,Clint Eastwood,J. Edgar Hoover,Government,Known,White,0,Male,Leonardo DiCaprio
Jamesy Boy,http://www.imdb.com/title/tt1673734/,US,2014,-,Trevor White,James Burns,Criminal,Unknown,,0,Male,Spencer Lofranco
Jappeloup,http://www.imdb.com/title/tt2018079/,Canada,2013,-,Christian Duguay," Pierre Durand, Jr.",Athlete,Known,White,0,Male,Guillaume Canet
Jean Charles,http://www.imdb.com/title/tt0989007/,UK,2009,-,Henrique Goldman,Jean Charles de Menezes,Other,Known,White,0,Male,Selton Mello
Jefferson in Paris,http://www.imdb.com/title/tt0113463/,US,1995,$2.47M,James Ivory,Thomas Jefferson,Historical,Known,White,0,Male,Nick Nolte
Jesse James,http://www.imdb.com/title/tt0031507/,US,1939,-,Henry King,Jesse James,Criminal,Known,White,0,Male,Tyrone Power
Jim Thorpe -- All-American,http://www.imdb.com/title/tt0043687/,US,1951,-,Michael Curtiz,Jim Thorpe,Athlete,Known,Native American,1,Male,Burt Lancaster
Jimi: All Is by My Side,http://www.imdb.com/title/tt2402085/,US/UK,2013,$323K,John Ridley,Jimi Hendrix,Musician,Known,Multi racial,1,Male,Andr̩ Benjamin
Jinnah,http://www.imdb.com/title/tt0183306/,UK,1998,-,Jamil Dehlavi,Mohammad Ali Jinnah,Other,Known,Middle Eastern,1,Male,Christopher Lee
"Jo Jo Dancer, Your Life Is Calling",http://www.imdb.com/title/tt0091295/,US,1986,$18M,Richard Pryor,Richard Pryor,Comedian,Known,African American,1,Male,Richard Pryor
Joan of Arc,http://www.imdb.com/title/tt0040491/,US,1948,-,Victor Fleming,Joan of Arc ,Historical,Known,White,0,Female,Ingrid Bergman
Jobs,http://www.imdb.com/title/tt2357129/,US,2013,$16.1M,Joshua Michael Stern,Steve Jobs,Other,Known,Multi racial,1,Male,Ashton Kutcher
John Paul Jones,http://www.imdb.com/title/tt0052946/,US,1959,-,John Farrow,John Paul Jones,Military,Known,White,0,Male,Robert Stack
Juarez,http://www.imdb.com/title/tt0031516/,US,1939,-,William Dieterle,Benito Juarez,World leader,Known,Hispanic (Latin American),1,Male,Paul Muni
Kid Cannabis,http://www.imdb.com/title/tt0780548/,US,2014,$5.57K,John Stockwell,Nate Norman,Criminal,Unknown,,0,Male,Jonathan Daniel Brown
Kill the Irishman,http://www.imdb.com/title/tt1416801/,US,2011,$1.19M,Jonathan Hensleigh,Danny Greene,Criminal,Known,White,0,Male,Ray Stevenson
Kill the Messenger,http://www.imdb.com/title/tt1216491/,US,2014,$2.45M,Michael Cuesta,Gary Webb,Media,Unknown,,0,Male,Jeremy Renner
Kill Your Darlings,http://www.imdb.com/title/tt1311071/,US,2013,$1.03M,John Krokidas,Allen Ginsberg ,Author,Known,White,0,Male,Daniel Radcliffe
Killer: A Journal of Murder,http://www.imdb.com/title/tt0113542/,US,1995,$65.7K,Tim Metcalfe,Carl Panzram,Criminal,Known,White,0,Male,James Woods
King David,http://www.imdb.com/title/tt0089420/,US,1985,-,Bruce Beresford,David,Historical,Known,Middle Eastern (White),0,Male,Richard Gere
King of Kings,http://www.imdb.com/title/tt0055047/,US,1961,-,Nicholas Ray,Jesus,Historical,Known,Middle Eastern (White),0,Male,Jeffrey Hunter
Kinsey,http://www.imdb.com/title/tt0362269/,US,2004,$10.2M,Bill Condon,Alfred Kinsey,Academic,Known,White,0,Male,Liam Neeson
Klimt,http://www.imdb.com/title/tt0417871/,UK,2006,-,Raoul Ruiz,Gustav Klimt,Artist,Known,White,0,Male,John Malkovich
Knute Rockne All American,http://www.imdb.com/title/tt0032676/,US,1940,-,Lloyd Bacon,Knute Rockne,Athlete,Known,White,0,Male,Pat O'Brien
Korczak,http://www.imdb.com/title/tt0099949/,UK,1990,-,Andrzej Wajda,Janusz Korczak,Other,Known,White,0,Male,Wojciech Pszoniak
Kundun,http://www.imdb.com/title/tt0119485/,US,1997,$5.53M,Martin Scorsese,Dalai Lama ,Activist,Known,Asian,1,Male,Tenzin Thuthob Tsarong
La Bamba,http://www.imdb.com/title/tt0093378/,US,1987,$54.2M,Luis Valdez,Ritchie Valens,Musician,Known,Hispanic (Latino),1,Male,Lou Diamond Phillips
La Vie en Rose,http://www.imdb.com/title/tt0450188/,Canada/UK,2007,$10.3M,Olivier Dahan,��dith Piaf.,Singer,Known,White,0,Female,Marion Cotillard
Lady Jane,http://www.imdb.com/title/tt0091374/,UK,1986,$278K,Trevor Nunn,Lady Jane Grey,Historical,Unknown,,0,Female,Helena Bonham Carter
Lady Sings the Blues,http://www.imdb.com/title/tt0068828/,US,1972,$9.6M,Sidney J. Furie,Billie Holiday,Musician,Known,African American,1,Female,Diana Ross
Last Days,http://www.imdb.com/title/tt0403217/,US,2005,$455K,Gus Van Sant,Kurt Cobain,Musician,Known,White,0,Male,Michael Pitt
Lawrence of Arabia,http://www.imdb.com/title/tt0056172/,UK,1962,$342K,David Lean,Thomas Edward Lawrence,Military,Known,White,0,Male,Peter O'Toole
Lee Daniels' The Butler,http://www.imdb.com/title/tt1327773/,US,2013,$117M,Lee Daniels,Cecil Gaines,Other,Known,African American,1,Male,Forest Whitaker
Lenny,http://www.imdb.com/title/tt0071746/,US,1974,-,Bob Fosse,Lenny Bruce,Comedian,Known,White,0,Male,Dustin Hoffman
Lincoln,http://www.imdb.com/title/tt0443272/,US,2012,$182M,Steven Spielberg,Abraham Lincoln,World leader,Known,White,0,Male,Daniel Day-Lewis
Lion of the Desert,http://www.imdb.com/title/tt0081059/,US,1981,-,Moustapha Akkad,Omar Mukhtar,Activist,Known,Middle Eastern,1,Male,Anthony Quinn
Lisztomania,http://www.imdb.com/title/tt0073298/,UK,1975,-,Ken Russell,Franz Liszt,Musician,Known,White,0,Male,Roger Daltrey
Little Ashes,http://www.imdb.com/title/tt1104083/,UK,2008,$480K,Paul Morrison,Salvador Dal�_,Artist,Known,Multi racial,1,Male,Robert Pattinson
Lone Survivor,http://www.imdb.com/title/tt1091191/,US,2013,$125M,Peter Berg,Marcus Luttrell,Military,Unknown,,0,Male,Mark Wahlberg
Louis Cyr,http://www.imdb.com/title/tt1657513/,Canada,2013,-,Daniel Roby,Louis Cyr,Athlete,Known,White,0,Male,Antoine Bertrand
Love & Mercy,http://www.imdb.com/title/tt0903657/,US,2014,$9.26M,Bill Pohlad,Brian Wilson,Musician,Known,White,0,Male,John Cusack
Love Is a Many-Splendored Thing,http://www.imdb.com/title/tt0048316/,US,1955,-,Henry King,Han Suyin,Other,Known,Eurasian,1,Female,Jennifer Jones
Love Is the Devil: Study for a Portrait of Francis Bacon,http://www.imdb.com/title/tt0119577/,US/UK,1998,$343K,John Maybury,Francis Bacon,Artist,Known,White,0,Male,Derek Jacobi
Love Me or Leave Me,http://www.imdb.com/title/tt0048317/,US,1955,-,Charles Vidor,Ruth Etting,Singer,Unknown,,0,Female,Doris Day
Lovelace,http://www.imdb.com/title/tt1426329/,US,2013,$355K,"Rob Epstein, Jeffrey Friedman",Linda Lovelace,Actress,Known,White,0,Female,Amanda Seyfried
Low Down,http://www.imdb.com/title/tt1864405/,US,2014,$44.5K,Jeff Preiss,Joe Albany,Musician,Known,White,0,Male,John Hawkes
Lucky Luciano,http://www.imdb.com/title/tt0071782/,US,1973,-,Francesco Rosi,Charles Luciano,Criminal,Known,White,0,Male,Gian Maria Volont̩
Lust for Life,http://www.imdb.com/title/tt0049456/,US,1956,-,Vincente Minnelli,Vincent van Gogh,Artist,Known,White,0,Male,Kirk Douglas
Luther,http://www.imdb.com/title/tt0309820/,US,2003,$5.67M,Eric Till,Martin Luther,Historical,Known,White,0,Male,Joseph Fiennes
MacArthur,http://www.imdb.com/title/tt0076342/,US,1977,-,Joseph Sargent,Douglas MacArthur,Military,Known,White,0,Male,Gregory Peck
Machine Gun Preacher,http://www.imdb.com/title/tt1586752/,US,2011,$538K,Marc Forster,Sam Childers,Other,Known,White,0,Male,Gerard Butler
Machine-Gun Kelly,http://www.imdb.com/title/tt0051887/,US,1958,-,Roger Corman,George Kelly,Criminal,Unknown,,0,Male,Charles Bronson
Malcolm X,http://www.imdb.com/title/tt0104797/,US,1992,$48.2M,Spike Lee,Malcolm X,Activist,Known,African American,1,Male,Denzel Washington
Man of a Thousand Faces,http://www.imdb.com/title/tt0050681/,US,1957,-,Joseph Pevney,Lon Chaney,Actor,Known,White,0,Male,James Cagney
Man on the Moon,http://www.imdb.com/title/tt0125664/,US/UK,1999,$34.6M,Milos Forman,Andy Kaufman,Comedian,Unknown,,0,Male,Jim Carrey
Mandela: Long Walk to Freedom,http://www.imdb.com/title/tt2304771/,UK,2013,$8.32M,Justin Chadwick,Nelson Mandela,World leader,Known,African,1,Male,Idris Elba
Marie Antoinette,http://www.imdb.com/title/tt0030418/,US,1938,-,W.S. Van Dyke,Marie Antoinette,Historical,Known,White,0,Female,Norma Shearer
Marie Antoinette,http://www.imdb.com/title/tt0422720/,US,2006,$16M,Sofia Coppola,Marie Antoinette,Historical,Known,White,0,Female,Kirsten Dunst
Mary of Scotland,http://www.imdb.com/title/tt0027948/,US,1936,-,John Ford,"Mary Stuart, Queen of Scots",Historical,Known,White,0,Female,Katharine Hepburn
"Mary, Queen of Scots",http://www.imdb.com/title/tt0067402/,UK,1971,-,Charles Jarrott,"Mary Stuart, Queen of Scots",Historical,Known,White,0,Female,Vanessa Redgrave
Mask,http://www.imdb.com/title/tt0089560/,US,1985,$42.4M,Peter Bogdanovich,"Roy Lee ""Rocky"" Dennis",Other,Known,White,0,Male,Eric Stolz
Meetings with Remarkable Men,http://www.imdb.com/title/tt0079542/,UK,1979,-,Peter Brook,G.I. Gurdjieff ,Other,Known,White,0,Male,Dragan Maksimovic
Men of Honor,http://www.imdb.com/title/tt0203019/,US,2000,$48.8M,George Tillman Jr.,Carl Brashear,Athlete,Known,African American,1,Male,Cuba Gooding Jr
Mesmer,http://www.imdb.com/title/tt0110496/,Canada/UK,1994,-,Roger Spottiswoode,Franz Anton Mesmer,Medicine,Known,White,0,Male,Alan Rickman
Mesrine Part 1: Killer Instinct,http://www.imdb.com/title/tt1259014/,Canada,2008,$552K,Jean-Fran̤ois Richet,Jacques Mesrine,Criminal,Known,White,0,Male,Vincent Cassel
Mesrine Part 2: Public Enemy #1,http://www.imdb.com/title/tt0411272/,Canada,2008,$275K,Jean-Fran̤ois Richet,Jacques Mesrine,Criminal,Known,White,0,Male,Vincent Cassel
Michael Collins,http://www.imdb.com/title/tt0117039/,US/UK,1996,$11M,Neil Jordan,Michael Collins,Activist,Known,White,0,Male,Liam Neeson
Midnight Express,http://www.imdb.com/title/tt0077928/,US/UK,1978,$35M,Alan Parker,Billy Hayes,Criminal,Unknown,,0,Male,Brad Davis
Milk,http://www.imdb.com/title/tt1013753/,US,2008,$31.8M,Gus Van Sant,Harvey Milk,Activist,Known,White,0,Male,Sean Penn
Million Dollar Arm,http://www.imdb.com/title/tt1647668/,US,2014,$36.4M,Craig Gillespie,J. B. Bernstein,Athlete,Known,White,0,Male,Jon Hamm
Million Dollar Mermaid,http://www.imdb.com/title/tt0044903/,US,1952,-,Mervyn LeRoy,Annette Kellerman,Athlete,Known,White,0,Female,Esther Williams
Miracle,http://www.imdb.com/title/tt0349825/,US,2004,$64.4M,Gavin O'Connor,Herb Brooks ,Athlete,Unknown,,0,Male,Kurt Russell
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0089603/,US,1985,$450K,Paul Schrader,Yukio Mishima,Author,Known,Asian,1,Male,Ken Ogata
Miss Potter,http://www.imdb.com/title/tt0482546/,US/UK,2006,$2.98M,Chris Noonan,Beatrix Potter,Author,Known,White,0,Female,Ren̩e Zellweger
Mockingbird Don't Sing,http://www.imdb.com/title/tt0273822/,US,2001,-,Harry Bromley Davenport,Genie (pseudonym),Other,Unknown,,0,Female,Tarra Steele
Modigliani,http://www.imdb.com/title/tt0367188/,UK,2004,$195K,Mick Davis,Amedeo Modigliani,Artist,Known,White,0,Male,Andy Garcia
Mommie Dearest,http://www.imdb.com/title/tt0082766/,US,1981,-,Frank Perry,Joan Crawford,Actress,Known,White,0,Female,Faye Dunaway
Moneyball,http://www.imdb.com/title/tt1210166/,US,2011,$75.6M,Bennett Miller,Billy Beane,Athlete,Known,White,0,Male,Brad Pitt
Monsieur N.,http://www.imdb.com/title/tt0308595/,UK,2003,$16.8K,Antoine de Caunes,Napoleon Bonaparte,Historical,Known,White,0,Male,Philippe Torreton
Monster,http://www.imdb.com/title/tt0340855/,US,2003,$34.5M,Patty Jenkins,Aileen Wuornos,Criminal,Unknown,,0,Female,Charlize Theron
Moulin Rouge,http://www.imdb.com/title/tt0044926/,UK,1952,-,John Huston,Henri de Toulouse-Lautrec,Artist,Unknown,,0,Male,Jos̩ Ferrer
Mr. Nice,http://www.imdb.com/title/tt1183911/,UK,2010,-,Bernard Rose,Howard Marks,Criminal,Unknown,,0,Male,Rhys Ifans
Mr. Turner,http://www.imdb.com/title/tt2473794/,UK,2014,$3.96M,Mike Leigh,J.M.W. Turner,Artist,Known,White,0,Male,Timothy Spall
Mrs Brown,http://www.imdb.com/title/tt0119280/,US/UK,1997,$9.22M,John Madden,Victoria,Historical,Known,White,0,Female,Judi Dench
Mrs. Parker and the Vicious Circle,http://www.imdb.com/title/tt0110588/,US/Canada,1994,$2.14M,Alan Rudolph,Dorothy Parker,Author,Known,White,0,Female,Jennifer Jason Leigh
Muhammad: The Last Prophet,http://www.imdb.com/title/tt0430377/,US,2002,-,Richard Rich,Muhammad,Historical,Known,Middle Eastern,1,Male,
"Murder, Inc.",http://www.imdb.com/title/tt0054102/,US,1960,-,"Burt Balaban, Stuart Rosenberg",Burton Turkus,Other,Unknown,,0,Male,Henry Morgan
Music Within,http://www.imdb.com/title/tt0422783/,US,2007,$153K,Steven Sawalich,Richard Pimentel,Activist,Known,Multi racial,1,Male,Ron Livingston
My Childhood,http://www.imdb.com/title/tt0068983/,UK,1972,-,Bill Douglas,Bill Douglas,Other,Unknown,,0,Male,Stephen Archibald
My Left Foot,http://www.imdb.com/title/tt0097937/,UK,1989,$14.7M,Jim Sheridan,Christy Brown,Artist,Known,White,0,Male,Daniel Day-Lewis
My Life So Far,http://www.imdb.com/title/tt0120899/,US/UK,1999,$616K,Hugh Hudson,Denis Forman,Other,Known,White,0,Male,Robert Norman
My One and Only,http://www.imdb.com/title/tt1185431/,US,2009,$2.48M,Richard Loncraine,George Hamilton,Other,Known,White,0,Male,Logan Lerman
My Week with Marilyn,http://www.imdb.com/title/tt1655420/,US/UK,2011,$14.6M,Simon Curtis,Marilyn Monroe,Actress,Unknown,,0,Female,Michelle Williams
Ned Kelly,http://www.imdb.com/title/tt0277941/,US/UK,2003,$74.9K,Gregor Jordan,Ned Kelly,Criminal,Known,White,0,Male,Heath Ledger
Night and Day,http://www.imdb.com/title/tt0038776/,US,1946,-,Michael Curtiz,Cole Porter,Musician,Unknown,,0,Male,Cary Grant
Nightwatching,http://www.imdb.com/title/tt0446750/,Canada/UK,2007,-,Peter Greenaway,Rembrandt,Artist,Known,White,0,Male,Martin Freeman
Nixon,http://www.imdb.com/title/tt0113987/,US,1995,$13.6M,Oliver Stone,Richard Milhous Nixon,World leader,Known,White,0,Male,Anthony Hopkins
Nostradamus,http://www.imdb.com/title/tt0110689/,UK,1994,$364K,Roger Christian,Nostradamus,Historical,Unknown,,0,Male,Tch̩ky Karyo
Notorious,http://www.imdb.com/title/tt0472198/,US,2009,$36.8M,George Tillman Jr.,Christopher Wallace (Biggie Smalls),Musician,Known,Caribbean,1,Male,Jamal Woolard
Nowhere Boy,http://www.imdb.com/title/tt1266029/,Canada/UK,2009,$1.45M,Sam Taylor-Johnson,John Lennon,Musician,Known,White,0,Male,Aaron Taylor-Johnson
October Sky,http://www.imdb.com/title/tt0132477/,US,1999,$32.5M,Joe Johnston,Homer Hickam,Other,Known,Multi racial,1,Male,Jake Gyllenhaal
One Chance,http://www.imdb.com/title/tt1196956/,US/UK,2013,$89.7K,David Frankel,Paul Potts,Musician,Unknown,,0,Male,James Corden
One Foot in Heaven,http://www.imdb.com/title/tt0033980/,US,1941,-,Irving Rapper,William Spence,Other,Known,White,0,Male,Fredric March
One Night with the King,http://www.imdb.com/title/tt0430431/,US,2006,$13.4M,Michael O. Sajbel,Hadassah (Esther),Historical,Known,Middle Eastern (White),0,Female,Tiffany Dupont
Out of Africa,http://www.imdb.com/title/tt0089755/,US,1985,$87.1M,Sydney Pollack,Karen Blixen,Other,Known,White,0,Female,Meryl Streep
Papillon,http://www.imdb.com/title/tt0070511/,US,1973,$53.3M,Franklin J. Schaffner,"Henri ""Papillon"" Charri̬re",Criminal,Known,White,0,Male,Steve McQueen
Party Monster,http://www.imdb.com/title/tt0320244/,US,2003,$297K,"Fenton Bailey, Randy Barbato",Michael Alig,Criminal,Unknown,,0,Male,Macaulay Culkin
Patch Adams,http://www.imdb.com/title/tt0129290/,US,1998,$135M,Tom Shadyac,"Hunter Doherty ""Patch"" Adams",Medicine,Unknown,,0,Male,Robin Williams
Patton,http://www.imdb.com/title/tt0066206/,US,1970,-,Franklin J. Schaffner,George Patton,Military,Known,White,0,Male,George Scott
Patty Hearst,http://www.imdb.com/title/tt0095836/,US/UK,1988,$1.22M,Paul Schrader,Patty Hearst,Other,Known,White,0,Female,Natasha Richardson
Permanent Midnight,http://www.imdb.com/title/tt0120788/,US,1998,$1.17M,David Veloz,Jerry Stahl,Comedian,Known,White,0,Male,Ben Stiller
Persepolis,http://www.imdb.com/title/tt0808417/,US,2007,$4.44M,"Vincent Paronnaud, Marjane Satrapi",Marjane 'Marji' Satrapi,Activist,Known,Middle Eastern,1,Female,Chiara Mastroianni
Phantom Punch,http://www.imdb.com/title/tt1131747/,US,2008,-,Robert Townsend,Sonny Liston,Athlete,Known,African American,1,Male,Ving Rhames
Philomena,http://www.imdb.com/title/tt2431286/,US/UK,2013,$37.7M,Stephen Frears,Philomena Lee,Other,Known,White,0,Female,Judi Dench
Pierrepoint: The Last Hangman,http://www.imdb.com/title/tt0462477/,US/UK,2005,$21.8K,Adrian Shergold,Albert Pierrepoint,Other,Known,White,0,Male,Timothy Spall
Pi̱ero,http://www.imdb.com/title/tt0261066/,US,2001,$1.42M,Leon Ichaso,Miguel Pi̱ero,Actor,Known,Hispanic (Latin American),1,Male,Benjamin Bratt
Pollock,http://www.imdb.com/title/tt0183659/,US,2000,$8.6M,Ed Harris,Jackson Pollock,Artist,Known,White,0,Male,Ed Harris
Prefontaine,http://www.imdb.com/title/tt0119937/,US,1997,$532K,Steve James,Steve Prefontaine,Athlete,Known,White,0,Male,Jared Leto
Pride of the Marines,http://www.imdb.com/title/tt0038000/,US,1945,-,Delmer Daves,Al Schmid,Military,Known,White,0,Male,John Garfield
Private Parts,http://www.imdb.com/title/tt0119951/,US,1997,$41.2M,Betty Thomas,Howard Stern,Media,Known,White,0,Male,Howard Stern
PT 109,http://www.imdb.com/title/tt0057393/,US,1963,-,Leslie H. Martinson,John F. Kennedy,Military,Known,White,0,Male,Cliff Robertson
Public Enemies,http://www.imdb.com/title/tt1152836/,US,2009,$97M,Michael Mann,John Dillinger,Criminal,Unknown,,0,Male,Johnny Depp
Queen Christina,http://www.imdb.com/title/tt0024481/,US,1933,-,Rouben Mamoulian,"Christina, queen of Sweden",Historical,Known,White,0,Female,Greta Garbo
Quills,http://www.imdb.com/title/tt0180073/,US/UK,2000,$7.06M,Philip Kaufman,Marquis de Sade,Criminal,Known,White,0,Male,Geoffrey Rush
Ragamuffin,http://www.imdb.com/title/tt2412568/,US,2014,-,David Schultz,Rich Mullins,Singer,Known,White,0,Male,David Schultz
Raging Bull,http://www.imdb.com/title/tt0081398/,US,1980,$45.2K,Martin Scorsese,Jake LaMotta,Athlete,Known,White,0,Male,Robert De Niro
Rasputin: The Mad Monk,http://www.imdb.com/title/tt0059635/,UK,1966,-,Don Sharp,Grigori Rasputin,Other,Known,White,0,Male,Christopher Lee
Ray,http://www.imdb.com/title/tt0350258/,US,2004,$75.3M,Taylor Hackford,Ray Charles,Musician,Known,African American,1,Male,Jamie Foxx
Reach for the Sky,http://www.imdb.com/title/tt0049665/,UK,1956,-,Lewis Gilbert,Douglas Bader,Military,Unknown,,0,Male,Kenneth More
Reds,http://www.imdb.com/title/tt0082979/,US,1981,-,Warren Beatty,John Reed,Media,Known,White,0,Male,Warren Beaty
Regeneration,http://www.imdb.com/title/tt0005960/,US,1915,-,Raoul Walsh,Owen Kildare,Other,Known,White,0,Male,Rockliffe Fellowes
Rembrandt,http://www.imdb.com/title/tt0028167/,UK,1936,-,Alexander Korda,Rembrandt,Artist,Known,White,0,Male,Charles Laughton
Remember the Titans,http://www.imdb.com/title/tt0210945/,US,2000,$116M,Boaz Yakin,Herman Boone,Athlete,Known,African American,1,Male,Denzel Washington
Rescue Dawn,http://www.imdb.com/title/tt0462504/,US,2006,$5.48M,Werner Herzog,Dieter Dengler,Military,Known,White,0,Male,Christian Bale
Restoration,http://www.imdb.com/title/tt0114272/,US/UK,1995,$4.1M,Michael Hoffman,Charles II,Historical,Known,White,0,Male,Sam Neill
Rhapsody in Blue,http://www.imdb.com/title/tt0038026/,US,1945,-,Irving Rapper,George Gershwin,Musician,Known,White,0,Male,Robert Alda
Richard III,http://www.imdb.com/title/tt0049674/,UK,1955,-,Laurence Olivier,Richard III of England,Historical,Known,White,0,Male,Laurence Olivier
Ricky 6,http://www.imdb.com/title/tt0156020/,US,2000,-,Peter Filardi,"Richard ""Ricky"" Kasso",Criminal,Unknown,,0,Male,Vincent Kartheiser
Riding in Cars with Boys,http://www.imdb.com/title/tt0200027/,US,2001,$29.8M,Penny Marshall,Beverly Donofrio,Other,Unknown,,0,Female,Drew Barrymore
Rise of the Footsoldier,http://www.imdb.com/title/tt0901507/,UK,2007,-,Julian Gilbey,Carlton Leach,Criminal,Unknown,,0,Male,Ricci Harnett
Rob Roy,http://www.imdb.com/title/tt0114287/,US/UK,1995,$31.6M,Michael Caton-Jones,Robert Roy MacGregor ,Other,Known,White,0,Male,Liam Neeson
Romero,http://www.imdb.com/title/tt0098219/,US,1989,$1.32M,John Duigan,Oscar Romero,Other,Known,Hispanic (Latin American),0,Male,Raul Julia
Rosewater,http://www.imdb.com/title/tt2752688/,US,2014,$3.09M,Jon Stewart,Maziar Bahari,Media,Known,Middle Eastern,1,Male,Gael Garc�_a Bernal
Rudy,http://www.imdb.com/title/tt0108002/,US,1993,$22.8M,David Anspaugh,Rudy Ruettiger,Athlete,Unknown,,0,Male,Sean Astin
Saint Joan,http://www.imdb.com/title/tt0050928/,US,1957,-,Otto Preminger,Joan of Arc,Historical,Known,White,0,Female,Jean Seberg
Salome's Last Dance,http://www.imdb.com/title/tt0096029/,US/UK,1988,$331K,Ken Russell,Oscar Wilde,Author,Known,White,0,Male,Nickolas Grace
Santa Fe Trail,http://www.imdb.com/title/tt0033021/,US,1940,-,Michael Curtiz,John Brown ,Other,Known,White,0,Male,Raymond Massey
Savage Messiah,http://www.imdb.com/title/tt0069225/,UK,1972,-,Ken Russell,Henri Gaudier-Brzeska,Artist,Unknown,,0,Male,Scott Antony
Schindler's List,http://www.imdb.com/title/tt0108052/,US,1993,$96.1M,Steven Spielberg,Oskar Schindler,Other,Known,White,0,Male,Liam Neeson
Scott of the Antarctic,http://www.imdb.com/title/tt0040761/,UK,1948,-,Charles Frend,Robert Falcon Scott,Other,Known,White,0,Male,John Mills
Searching for Bobby Fischer,http://www.imdb.com/title/tt0108065/,US,1993,$7.27M,Steven Zaillian,Josh Waitzkin,Other,Unknown,,0,Male,Max Pomeranc
Selena,http://www.imdb.com/title/tt0120094/,US,1997,$35.4M,Gregory Nava,Selena Quintanilla-Perez,Singer,Known,Hispanic (Latina),1,Female,Jennifer Lopez
Self Medicated,http://www.imdb.com/title/tt0341569/,US,2005,$98.8K,Monty Lapica,Monty Lapica,Other,Unknown,,0,Male,Monty Lapica
Selma,http://www.imdb.com/title/tt1020072/,US/UK,2014,$52.1M,Ava DuVernay,"Martin Luther King, Jr",Activist,Known,African American,1,Male,David Oyelowo
Sergeant York,http://www.imdb.com/title/tt0034167/,US,1941,$16.4M,Howard Hawks,Alvin C. York,Military,Known,White,0,Male,Gary Cooper
Serpico,http://www.imdb.com/title/tt0070666/,US,1973,-,Sidney Lumet,Frank Serpico,Other,Known,White,0,Male,Al Pacino
Set Fire to the Stars,http://www.imdb.com/title/tt3455740/,UK,2014,$3.27K,Andy Goddard,Dylan Thomas,Author (poet),Known,White,0,Male,Celyn Jones
Seven Years in Tibet,http://www.imdb.com/title/tt0120102/,US/UK,1997,$37.9M,Jean-Jacques Annaud,Heinrich Harrer,Other,Known,White,0,Male,Brad Pitt
Sex & Drugs & Rock & Roll,http://www.imdb.com/title/tt1393020/,UK,2010,-,Mat Whitecross,Ian Dury,Musician,Unknown,,0,Male,Andy Serkis
Silkwood,http://www.imdb.com/title/tt0086312/,US,1983,$35.6M,Mike Nichols,Karen Silkwood,Activist,Unknown,,0,Female,Meryl Streep
Sister Kenny,http://www.imdb.com/title/tt0038948/,US,1946,-,Dudley Nichols,Elizabeth Kenny,Medicine,Known,White,0,Female,Rosalind Russell
Sixty Six,http://www.imdb.com/title/tt0493450/,UK,2006,$225K,Paul Weiland,Paul Weiland,Other,Unknown,,0,Male,Gregg Sulkin
Skin,http://www.imdb.com/title/tt0964586/,UK,2008,-,Anthony Fabian,Sandra Laing,Other,Known,African,1,Female,Sophie Okonedo
Somebody Up There Likes Me,http://www.imdb.com/title/tt0049778/,US,1956,-,Robert Wise,Rocky Graziano,Athlete,Known,White,0,Male,Paul Newman
