title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Sweet Dreams,http://www.imdb.com/title/tt0090110/,US,1985,-,Karel Reisz,Patsy Cline,Singer,Known,White,0,Female,Jessica Lange
Swimming Upstream,http://www.imdb.com/title/tt0326664/,US,2003,$47.2K,Russell Mulcahy,Tony Fingleton,Athlete,Unknown,,0,Male,Geoffrey Rush
Talk to Me,http://www.imdb.com/title/tt0796368/,US,2007,$4.47M,Kasi Lemmons,"Ralph ""Petey"" Greene",Activist,Known,African American,1,Male,Don Cheadle
Ted Bundy,http://www.imdb.com/title/tt0284929/,US,2002,-,Matthew Bright,Ted Bundy,Criminal,Known,White,0,Male,Michael Reilly Burke
Telstar: The Joe Meek Story,http://www.imdb.com/title/tt1068669/,UK,2008,-,Nick Moran,Joe Meek,Musician,Known,White,0,Male,Con O'Neill
Testament of Youth,http://www.imdb.com/title/tt1441953/,UK,2014,$671K,James Kent,Vera Brittain,Other,Unknown,,0,Female,Alicia Vikander
The 5th Quarter,http://www.imdb.com/title/tt1130964/,US,2010,$400K,Rick Bieber,Jon Abbate,Athlete,Unknown,,0,Male,Ryan Merriman
The Actress,http://www.imdb.com/title/tt0045471/,US,1953,-,George Cukor,Ruth Gordon Jones,Actress,Unknown,,0,Female,Jean Simmons
The Adventures of Marco Polo,http://www.imdb.com/title/tt0029842/,US,1938,-,Archie Mayo,Marco Polo,Historical,Known,White,0,Male,Gary Cooper
The Adventures of Mark Twain,http://www.imdb.com/title/tt0036582/,US,1944,-,Irving Rapper,Samuel Clemens,Author,Known,White,0,Male,Frederic March
The Assassination of Richard Nixon,http://www.imdb.com/title/tt0364961/,US,2004,$698K,Niels Mueller,Samuel Byck,Other,Unknown,,0,Male,Sean Penn
The Assassination of Trotsky,http://www.imdb.com/title/tt0068226/,UK,1972,-,Joseph Losey,Leon Trotsky,Activist,Known,White,0,Male,Richard Burton
The Aviator,http://www.imdb.com/title/tt0338751/,US,2004,$103M,Martin Scorsese,Howard Hughes,Other,Unknown,,0,Male,Leonardo DiCaprio
The Babe,http://www.imdb.com/title/tt0103747/,US,1992,$17.5M,Arthur Hiller,Babe Ruth,Athlete,Known,White,0,Male,John Goodman
The Babe Ruth Story,http://www.imdb.com/title/tt0040142/,US,1948,-,Roy Del Ruth,Babe Ruth,Athlete,Known,White,0,Male,William Bendix
The Basketball Diaries,http://www.imdb.com/title/tt0112461/,US,1995,$2.42M,Scott Kalvert,Jim Carroll,Author,Known,White,0,Male,Leonardo DiCaprio
The Benny Goodman Story,http://www.imdb.com/title/tt0047873/,US,1956,-,Valentine Davies,Benny Goodman,Musician,Known,White,0,Male,Steve Allen
The Better Angels,http://www.imdb.com/title/tt2316868/,US,2014,-,A.J. Edwards,Abraham Lincoln,World leader,Known,White,0,Male,Jason Clarke
The Blind Side,http://www.imdb.com/title/tt0878804/,US,2009,$256M,John Lee Hancock,Michael Oher,Athlete,Known,African American,1,Male,Quinton Aaron
The Boy in Blue,http://www.imdb.com/title/tt0090769/,Canada,1986,$275K,Charles Jarrott,Ned Hanlan,Athlete,Known,White,0,Male,Nicolas Cage
The Brittany Murphy Story,http://www.imdb.com/title/tt3957278/,US,2014,-,Joe Menendez,Brittany Murphy,Actress,Known,White,0,Female,Amanda Fuller
The Broken Tower,http://www.imdb.com/title/tt1756791/,US,2011,-,James Franco,Harold Hart Crane,Author (poet),Unknown,,0,Male,James Franco
The Buddy Holly Story,http://www.imdb.com/title/tt0077280/,US,1978,-,Steve Rash,Buddy Holly,Singer,Known,Multi racial,0,Male,Gary Busey
The Chameleon,http://www.imdb.com/title/tt1359553/,US,2010,-, Jean-Paul Salom̩,Fr̩d̩ric Fortin,Criminal,Known,Multi racial,1,Male,Marc-Andr̩ Grondin
The Color of Freedom,http://www.imdb.com/title/tt0438859/,UK,2007,-,Bille August,James Gregory,Other,Known,White,0,Male,Joseph Fiennes
The Color of Time,http://www.imdb.com/title/tt2133333/,US,2012,-,"Edna Luise Biesold, Sarah-Violet Bliss",CK Williams,Author,Unknown,,0,Male,James Franco
The Conqueror,http://www.imdb.com/title/tt0049092/,US,1956,$4.5M,Dick Powell,Temujin (Genghis Khan),Military,Known,Asian,1,Male,John Wayne
The Countess,http://www.imdb.com/title/tt0496634/,US,2009,-,Julie Delpy,Erzs̩bet B��thory,Historical,Known,White,0,Female,Julie Delpy
The Court-Martial of Billy Mitchell,http://www.imdb.com/title/tt0047956/,US,1955,-,Otto Preminger,Billy Mitchell,Military,Known,White,0,Male,Gary Cooper
The Cross and the Switchblade,http://www.imdb.com/title/tt0068428/,US,1970,-,Don Murray,David Wilkerson,Other,Unknown,,0,Male,Pat Boone
The Damned United,http://www.imdb.com/title/tt1226271/,UK,2009,$450K,Tom Hooper,Brian Clough,Athlete,Unknown,,0,Male,Michael Sheen
The Desert Fox: The Story of Rommel,http://www.imdb.com/title/tt0043461/,US,1951,-,Henry Hathaway,Erwin Rommel,Military,Known,White,0,Male,James Mason
The Diary of Anne Frank,http://www.imdb.com/title/tt0052738/,US,1959,-,George Stevens,Anne Frank,Other,Known,White,0,Female,Millie Perkins
The Diving Bell and the Butterfly,http://www.imdb.com/title/tt0401383/,US,2007,$5.99M,Julian Schnabel,Jean-Dominique Bauby,Media,Known,White,0,Male,Mathieu Amalric
The Doors,http://www.imdb.com/title/tt0101761/,US,1991,$35.2M,Oliver Stone,Jim Morrison,Singer,Known,White,0,Male,Vil Kilmer
The Duchess,http://www.imdb.com/title/tt0864761/,US/UK,2008,$13.8M,Saul Dibb,Georgiana Cavendish,Other,Known,White,0,Female,Keira Knightley
The Eddy Duchin Story,http://www.imdb.com/title/tt0049170/,US,1956,-,George Sidney,Eddy Duchin,Musician,Unknown,,0,Male,Tyrone Power
The Edge of Love,http://www.imdb.com/title/tt0819714/,UK,2008,$28.6K,John Maybury,Dylan Thomas,Author (poet),Known,White,0,Male,Matthew Rhys
The Elephant Man,http://www.imdb.com/title/tt0080678/,US,1980,-,David Lynch,Joseph Merrick ,Other,Known,White,0,Male,John Hurt
The Entity,http://www.imdb.com/title/tt0082334/,US,1982,-,Sidney J. Furie,Doris Bither,Other,Unknown,,0,Female,Barbara Hershey
The Express,http://www.imdb.com/title/tt0469903/,US,2008,$9.59M,Gary Fleder,Ernie Davis,Athlete,Known,African American,1,Male,Rob Brown
The Falcon and the Snowman,http://www.imdb.com/title/tt0087231/,US/UK,1985,$17.1M,John Schlesinger,Christopher Boyce,Criminal,Unknown,,0,Male,Timothy Hutton
